Infront name;Yahoo finance name;mod
NIL-B;NIL-B.ST;
NITRO;NITRO.ST;
NMAN;NMAN.ST;
NOBI;NOBI.ST;
NOKIA-SEK;NOKIA-SEK.ST;
NOLA-B;NOLA-B.ST;
NORB-B;NORB-B.ST;
NOTE;NOTE.ST;
NP3;NP3.ST;
NPAPER;NPAPER.ST;
NTEK-B;NTEK-B.ST;
NWG;NWG.ST;
NYF;NYF.ST;
NYTTO;NYTTO.ST;
OEM-B;OEM-B.ST;
OGUN-B;OGUN-B.ST;
ONCO;ONCO.ST;
ORES;ORES.ST;
ORRON;ORRON.ST;
ORTI-B;ORTI-B.ST;
ORX;ORX.ST;
OX2;OX2.ST;
PACT;PACT.ST;
PCELL;PCELL.ST;
PDX;PDX.ST;
PEAB-B;PEAB-B.ST;
PHI;PHI.ST;
PION-B;PION-B.ST;
PLAZ-B;PLAZ-B.ST;
PLEJD;PLEJD.ST;
PNDX-B;PNDX-B.ST;
PREV-B;PREV-B.ST;
PRIC-B;PRIC-B.ST;
PROVIT;PROVIT.ST;
PTRK;PTRK.ST;
QAIR;QAIR.ST;
RAKE;RAKE.ST;
RATO-B;RATO-B.ST;
RAY-B;RAY-B.ST;
REJL-B;REJL-B.ST;
RENEW;RENEW.ST;
RESURS;RESURS.ST;
RROS;RROS.ST;
RVRC;RVRC.ST;
SAAB-B;SAAB-B.ST;
SAGA-B;SAGA-B.ST;
SAGA-D;SAGA-D.ST;
SALT-B;SALT-B.ST;
SAMPO-SDB;SAMPO-SDB.ST;
SAND;SAND.ST;
SANION;SANION.ST;
SAVE;SAVE.ST;
SBB-B;SBB-B.ST;
SBB-D;SBB-D.ST;
SCA-A;SCA-A.ST;
SCA-B;SCA-B.ST;
SCST;SCST.ST;
SDIP-B;SDIP-B.ST;
SEB-A;SEB-A.ST;
SEB-C;SEB-C.ST;
SECARE;SECARE.ST;
SECT-B;SECT-B.ST;
SECU-B;SECU-B.ST;
SEDANA;SEDANA.ST;
SENS;SENS.ST;
SES;SES.ST;
SEYE;SEYE.ST;
SEZI;SEZI.ST;
SF;SF.ST;
SFAB;SFAB.ST;
SHB-A;SHB-A.ST;
SHB-B;SHB-B.ST;
SHOT;SHOT.ST;
SINCH;SINCH.ST;
SINT;SINT.ST;
SIVE;SIVE.ST;
SKA-B;SKA-B.ST;
SKF-A;SKF-A.ST;
SKF-B;SKF-B.ST;
SKIS-B;SKIS-B.ST;
SKOG-A;SKOG-A.ST;
SMOL;SMOL.ST;
SOBI;SOBI.ST;
SOF-B;SOF-B.ST;
SOLT;SOLT.ST;
SPEC;SPEC.ST;
SPEQT;SPEQT.ST;
SRNKE-B;SRNKE-B.ST;
SSAB-A;SSAB-A.ST;
SSAB-B;SSAB-B.ST;
STABL;STABL.ST;
STE-R;STE-R.ST;
STOR-B;STOR-B.ST;
STORY-B;STORY-B.ST;
STRAX;STRAX.ST;
SUS;SUS.ST;
SVED-B;SVED-B.ST;
SVIK;SVIK.ST;
SVOL-B;SVOL-B.ST;
SWEC-B;SWEC-B.ST;
SWED-A;SWED-A.ST;
SYNACT;SYNACT.ST;
SYNSAM;SYNSAM.ST;
SYNT;SYNT.ST;
SYSR;SYSR.ST;
TCC-A;TCC-A.ST;
TDVOX;TDVOX.ST;
TEL2-B;TEL2-B.ST;
TELIA;TELIA.ST;
TEQ;TEQ.ST;
TETY;TETY.ST;
TFBANK;TFBANK.ST;
THULE;THULE.ST;
THUNDR;THUNDR.ST;
TIETOS;TIETOS.ST;
TIGO-SDB;TIGO-SDB.ST;
TOBII;TOBII.ST;
TRAIN-B;TRAIN-B.ST;
TRANS;TRANS.ST;
TREL-B;TREL-B.ST;
TRIAN-B;TRIAN-B.ST;
TROAX;TROAX.ST;
TRUE-B;TRUE-B.ST;
UNIBAP;UNIBAP.ST;
VBG-B;VBG-B.ST;
VEFAB;VEFAB.ST;
VERT-B;VERT-B.ST;
VESTUM;VESTUM.ST;
VICO;VICO.ST;
VIMIAN;VIMIAN.ST;
VIT-B;VIT-B.ST;
VITR;VITR.ST;
VNV;VNV.ST;
VOLAB;VOLAB.ST;
VOLCAR-B;VOLCAR-B.ST;
VOLO;VOLO.ST;
VOLV-A;VOLV-A.ST;
VOLV-B;VOLV-B.ST;
VPAB-B;VPAB-B.ST;
VPLAY-B;VPLAY-B.ST;
W5;W5.ST;
WALL-B;WALL-B.ST;
WAYS;WAYS.ST;
WBGR-B;WBGR-B.ST;
WIHL;WIHL.ST;
WISE;WISE.ST;
WYLD;WYLD.ST;
XBRANE;XBRANE.ST;
XSPRAY;XSPRAY.ST;
XVIVO;XVIVO.ST;
ZICC;ZICC.ST;
ZIGN;ZIGN.ST;
ZZ-B;ZZ-B.ST;
