Infront-name;Yahoo finance name
DBP-B;DBP-B.ST
DDM;DDM.ST
DE;DE.ST
DEAR;DEAR.ST
DEDI;DEDI.ST
DEVP-B;DEVP-B.ST
DEX;DEX.ST
DIABIO;DIABIO.ST
DIAH;DIAH.ST
DICOT;DICOT.ST
DICOT-TO-4;DICOT-TO-4.ST
DICOT-TO-5;DICOT-TO-5.ST
DIGN;DIGN.ST
DIOS;DIOS.ST
DIST;DIST.ST
DIST-BTA;DIST-BTA.ST
DIV-B;DIV-B.ST
DIVIO-B;DIVIO-B.ST
DIVIO-TO-1-B;DIVIO-TO-1-B.ST
DLAB;DLAB.ST
DMYD-B;DMYD-B.ST
DOM;DOM.ST
DORO;DORO.ST
DOXA;DOXA.ST
DRIL;DRIL.ST
DSNO;DSNO.ST
DSPAB-B;DSPAB-B.ST
DUNI;DUNI.ST
DURC-B;DURC-B.ST
DUST;DUST.ST
DVYSR;DVYSR.ST
EAGLES;EAGLES.ST
EAST;EAST.ST
EASY-B;EASY-B.ST
EATG;EATG.ST
EBLITZ;EBLITZ.ST
ECC-B;ECC-B.ST
ECO-B;ECO-B.ST
ECOM;ECOM.ST
ECORE;ECORE.ST
ECTIN-B;ECTIN-B.ST
EEVIA;EEVIA.ST
EEVIA-BTA;EEVIA-BTA.ST
EEVIA-TR;EEVIA-TR.ST
EFFH;EFFH.ST
EG7;EG7.ST
EGTX;EGTX.ST
EKOBOT;EKOBOT.ST
EKTA-B;EKTA-B.ST
ELAN-B;ELAN-B.ST
ELIC;ELIC.ST
ELLWEE;ELLWEE.ST
ELN;ELN.ST
ELN-BTA;ELN-BTA.ST
ELN-TR;ELN-TR.ST
ELON;ELON.ST
ELOS-B;ELOS-B.ST
ELTEL;ELTEL.ST
ELUX-A;ELUX-A.ST
ELUX-B;ELUX-B.ST
EMBELL;EMBELL.ST
EMBRAC-B;EMBRAC-B.ST
EMIL-B;EMIL-B.ST
EMIL-PREF;EMIL-PREF.ST
EMPIR-B;EMPIR-B.ST
EMPIR-TO4-B;EMPIR-TO4-B.ST
EMPIR-TO5-B;EMPIR-TO5-B.ST
EMPLI;EMPLI.ST
ENDO;ENDO.ST
ENEA;ENEA.ST
ENERS;ENERS.ST
ENERS-BTA;ENERS-BTA.ST
ENERS-TR;ENERS-TR.ST
ENGCON-B;ENGCON-B.ST
ENQ;ENQ.ST
ENRAD;ENRAD.ST
ENRO;ENRO.ST
ENRO-PREF-A;ENRO-PREF-A.ST
ENRO-PREF-B;ENRO-PREF-B.ST
ENVI-B;ENVI-B.ST
ENZY;ENZY.ST
EOID;EOID.ST
EOLU-B;EOLU-B.ST
EOS;EOS.ST
EPI-A;EPI-A.ST
EPI-B;EPI-B.ST
EPIS-B;EPIS-B.ST
EPIS-TO-4B;EPIS-TO-4B.ST
EPRO-B;EPRO-B.ST
EPTI;EPTI.ST
EQL;EQL.ST
EQT;EQT.ST
ERIC-A;ERIC-A.ST
ERIC-B;ERIC-B.ST
ERMA;ERMA.ST
ESGR-B;ESGR-B.ST
ESSITY-A;ESSITY-A.ST
ESSITY-B;ESSITY-B.ST
EUCI;EUCI.ST
EURA;EURA.ST
EURA-BTU;EURA-BTU.ST
EURA-TO2;EURA-TO2.ST
EURA-UR;EURA-UR.ST
EURI-B;EURI-B.ST
EURI-BTU-B;EURI-BTU-B.ST
EURI-UR-B;EURI-UR-B.ST
EURO;EURO.ST
EVERY;EVERY.ST
EVO;EVO.ST
EWRK;EWRK.ST
EXALT;EXALT.ST
EXPRS2;EXPRS2.ST
EXPRS2-BTU;EXPRS2-BTU.ST
EXPRS2-UR;EXPRS2-UR.ST
EXS;EXS.ST
F2M;F2M.ST
FABG;FABG.ST
FAG;FAG.ST
FAGA;FAGA.ST
FASTAT;FASTAT.ST
FERRO;FERRO.ST
FG;FG.ST
FGG;FGG.ST
FIL;FIL.ST
FINE;FINE.ST
FING-B;FING-B.ST
FING-TO7-B;FING-TO7-B.ST
FIRE;FIRE.ST
FIRST-B;FIRST-B.ST
FLAT-B;FLAT-B.ST
FLEXM;FLEXM.ST
FLEXQ;FLEXQ.ST
FLMNG;FLMNG.ST
FLOWS;FLOWS.ST
FLOWS;FLOWS.ST
FLUI;FLUI.ST
FLUI-BTU;FLUI-BTU.ST
FLUI-TO4;FLUI-TO4.ST
FLUO;FLUO.ST
FMM-B;FMM-B.ST
FNM;FNM.ST
FNOVA-B;FNOVA-B.ST
FNOX;FNOX.ST
FOI-B;FOI-B.ST
FOOT-B;FOOT-B.ST
FOOT-PREF;FOOT-PREF.ST
FOUT;FOUT.ST
FPAR-A;FPAR-A.ST
FPAR-D;FPAR-D.ST
FPIP;FPIP.ST
FRACTL;FRACTL.ST
FRAG;FRAG.ST
FRAM-B;FRAM-B.ST
FREEM;FREEM.ST
FREJA;FREJA.ST
FRILAN;FRILAN.ST
FRISQ;FRISQ.ST
FRNT-B;FRNT-B.ST
FSPORT;FSPORT.ST
FXI;FXI.ST
G5EN;G5EN.ST
GABA;GABA.ST
GAMEC;GAMEC.ST
GAPW-B;GAPW-B.ST
GARO;GARO.ST
GATE;GATE.ST
GBK;GBK.ST
GCOR;GCOR.ST
GENE;GENE.ST
GENI;GENI.ST
GENO;GENO.ST
GETI-B;GETI-B.ST
GGEO;GGEO.ST
GHUS-B;GHUS-B.ST
GIAB;GIAB.ST
GIGSEK;GIGSEK.ST
GJAB;GJAB.ST
GOGRID-SDB;GOGRID-SDB.ST
GOMERO;GOMERO.ST
GOMX;GOMX.ST
GOMX-BTA;GOMX-BTA.ST
GOMX-TR;GOMX-TR.ST
GOTL-A;GOTL-A.ST
GOTL-B;GOTL-B.ST
GPG;GPG.ST
GPX;GPX.ST
GRANGX;GRANGX.ST
GREAT;GREAT.ST
GREEN;GREEN.ST
GRNG;GRNG.ST
GTAB-B;GTAB-B.ST
GTG;GTG.ST
GUARD;GUARD.ST
HAMLET-B;HAMLET-B.ST
HAMLET-TO-4-B;HAMLET-TO-4-B.ST
HANZA;HANZA.ST
HAV-B;HAV-B.ST
HAYPP;HAYPP.ST
HDW-B;HDW-B.ST
HEART;HEART.ST
HEBA-B;HEBA-B.ST
HEGR;HEGR.ST
HEIM-PREF;HEIM-PREF.ST
HELIO;HELIO.ST
HELIO-BTA;HELIO-BTA.ST
HEM;HEM.ST
HEMC;HEMC.ST
HEXA-B;HEXA-B.ST
HEXI;HEXI.ST
HIFA-B;HIFA-B.ST
HIGHCO-B;HIGHCO-B.ST
HILB-B;HILB-B.ST
HILB-TO1;HILB-TO1.ST
HM-B;HM-B.ST
HMPLY;HMPLY.ST
HMS;HMS.ST
HNSA;HNSA.ST
HODL;HODL.ST
HOFI;HOFI.ST
HOI-B;HOI-B.ST
HOLM-A;HOLM-A.ST
HOLM-B;HOLM-B.ST
HOME-B;HOME-B.ST
HOODIN;HOODIN.ST
HOYLU;HOYLU.ST
HOYLU-BTA;HOYLU-BTA.ST
HOYLU-TR;HOYLU-TR.ST
HPOL-B;HPOL-B.ST
HRNTS;HRNTS.ST
HTRO;HTRO.ST
HUBS;HUBS.ST
HUBSO;HUBSO.ST
HUFV-A;HUFV-A.ST
HUM;HUM.ST
HUMBLE;HUMBLE.ST
HUSQ-A;HUSQ-A.ST
HUSQ-B;HUSQ-B.ST
HYCO;HYCO.ST
HYCO-BTU;HYCO-BTU.ST
HYCO-UR;HYCO-UR.ST
IAR-B;IAR-B.ST
IBT-B;IBT-B.ST
ICO;ICO.ST
IDOGEN;IDOGEN.ST
IDUN-B;IDUN-B.ST
IMINT;IMINT.ST
IMMNOV;IMMNOV.ST
IMMNOV-BTA;IMMNOV-BTA.ST
IMMU;IMMU.ST
IMP-A-SDB;IMP-A-SDB.ST
IMPC;IMPC.ST
IMS;IMS.ST
IMSOL-B;IMSOL-B.ST
IMSYS;IMSYS.ST
INCOAX;INCOAX.ST
INCOAX-BTA;INCOAX-BTA.ST
INDEX;INDEX.ST
INDT;INDT.ST
INDU-A;INDU-A.ST
INDU-C;INDU-C.ST
INFRA;INFRA.ST
INFREA;INFREA.ST
INISS-B;INISS-B.ST
INIT;INIT.ST
INSP;INSP.ST
INSTAL;INSTAL.ST
INT;INT.ST
INTEG-B;INTEG-B.ST
INTRUM;INTRUM.ST
INVE-A;INVE-A.ST
INVE-B;INVE-B.ST
INWI;INWI.ST
IPCO;IPCO.ST
IRIS;IRIS.ST
IRLAB-A;IRLAB-A.ST
IRRAS;IRRAS.ST
IS;IS.ST
ISAB;ISAB.ST
ISAB-BTA;ISAB-BTA.ST
ISAB-TR;ISAB-TR.ST
ISOFOL;ISOFOL.ST
ISR;ISR.ST
ITAB;ITAB.ST
ITECH;ITECH.ST
IVACC;IVACC.ST
IVSO;IVSO.ST
IZAFE-B;IZAFE-B.ST
JDT;JDT.ST
JDT-BTU;JDT-BTU.ST
JDT-UR;JDT-UR.ST
JETPAK;JETPAK.ST
JLT;JLT.ST
JM;JM.ST
JOBS;JOBS.ST
JOJK;JOJK.ST
JOMA;JOMA.ST
JSSEC;JSSEC.ST
K2A-B;K2A-B.ST
K2A-PREF;K2A-PREF.ST
KABE-B;KABE-B.ST
KAKEL;KAKEL.ST
KAMBI;KAMBI.ST
KAN;KAN.ST
KAN-BTU;KAN-BTU.ST
KAN-TO-6;KAN-TO-6.ST
KAPIAB;KAPIAB.ST
KAR;KAR.ST
KARO;KARO.ST
KAV;KAV.ST
KDEV;KDEV.ST
KEBNI-B;KEBNI-B.ST
KENH;KENH.ST
KFAST-B;KFAST-B.ST
KILI;KILI.ST
KILI-BTA;KILI-BTA.ST
KILI-TR;KILI-TR.ST
KIND-SDB;KIND-SDB.ST
KINV-A;KINV-A.ST
KINV-B;KINV-B.ST
KJELL;KJELL.ST
KLAR;KLAR.ST
KLARA-B;KLARA-B.ST
KLIMAT;KLIMAT.ST
KNOW;KNOW.ST
KOBR-B;KOBR-B.ST
KOLL;KOLL.ST
KONT;KONT.ST
KOPY;KOPY.ST
KRONA;KRONA.ST
KVIX;KVIX.ST
L2S;L2S.ST
L2S-BTA;L2S-BTA.ST
L2S-TR;L2S-TR.ST
LADYLU;LADYLU.ST
LAGR-B;LAGR-B.ST
LAIR;LAIR.ST
LAIR-TO2;LAIR-TO2.ST
LAMM-B;LAMM-B.ST
LATF-B;LATF-B.ST
LATO-B;LATO-B.ST
LAUR;LAUR.ST
LCLEAN;LCLEAN.ST
LCT;LCT.ST
LCT-TO4;LCT-TO4.ST
LEMSE;LEMSE.ST
LEVEL;LEVEL.ST
LIAB;LIAB.ST
LIDDS;LIDDS.ST
LIFCO-B;LIFCO-B.ST
LIME;LIME.ST
LINC;LINC.ST
LINKAB;LINKAB.ST
LINKFI;LINKFI.ST
LIPI;LIPI.ST
LIPUM;LIPUM.ST
LITI;LITI.ST
